,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
63,2019-07-26,16.690594423840174,-20.014131122905145,59.89017005443184,16.690594423840174,16.690594423840174,4.022134687577739,4.022134687577739,4.022134687577739,-0.7396400812817842,-0.7396400812817842,-0.7396400812817842,4.761774768859523,4.761774768859523,4.761774768859523,0.0,0.0,0.0,20.712729111417914
64,2019-07-29,16.69368063999823,-19.590398152963555,60.19856082079086,16.69368063999823,16.69368063999823,6.0327425360444655,6.0327425360444655,6.0327425360444655,1.1645793334501007,1.1645793334501007,1.1645793334501007,4.868163202594364,4.868163202594364,4.868163202594364,0.0,0.0,0.0,22.726423176042697
65,2019-07-30,16.694709378717583,-17.436093919026046,60.530244631029056,16.694709378717583,16.694709378717583,5.149193328930642,5.149193328930642,5.149193328930642,0.24732477213968726,0.24732477213968726,0.24732477213968726,4.901868556790955,4.901868556790955,4.901868556790955,0.0,0.0,0.0,21.843902707648226
66,2019-07-31,16.69573811743694,-19.587752378178166,65.15928380057714,16.69573811743694,16.69573811743694,5.550282450519982,5.550282450519982,5.550282450519982,0.6081325536272671,0.6081325536272671,0.6081325536272671,4.942149896892715,4.942149896892715,4.942149896892715,0.0,0.0,0.0,22.246020567956922
67,2019-08-01,16.696766856156287,-18.712535800567107,60.07441013855449,16.696766856156287,16.696766856156287,4.766921164955695,4.766921164955695,4.766921164955695,-0.2254179053462568,-0.2254179053462568,-0.2254179053462568,4.992339070301952,4.992339070301952,4.992339070301952,0.0,0.0,0.0,21.463688021111984
68,2019-08-02,16.697795594875643,-20.884041315549318,61.39693968862471,16.697795594875643,16.697795594875643,4.31527591480608,4.31527591480608,4.31527591480608,-0.7396400812829398,-0.7396400812829398,-0.7396400812829398,5.054915996089021,5.054915996089021,5.054915996089021,0.0,0.0,0.0,21.013071509681723
69,2019-08-05,16.7008818110337,-15.86234981987701,67.49968452688982,16.7008818110337,16.7008818110337,6.493436389261363,6.493436389261363,6.493436389261363,1.164579333450333,1.164579333450333,1.164579333450333,5.328857055811031,5.328857055811031,5.328857055811031,0.0,0.0,0.0,23.19431820029506
70,2019-08-06,16.701910549753052,-18.041175561830077,62.117236760057835,16.701910549753052,16.701910549753052,5.696164858620791,5.696164858620791,5.696164858620791,0.24732477213835272,0.24732477213835272,0.24732477213835272,5.448840086482439,5.448840086482439,5.448840086482439,0.0,0.0,0.0,22.398075408373842
71,2019-08-07,16.702939288472407,-18.680585532380135,64.05905637112288,16.702939288472407,16.702939288472407,6.189527547993568,6.189527547993568,6.189527547993568,0.6081325536263774,0.6081325536263774,0.6081325536263774,5.581394994367191,5.581394994367191,5.581394994367191,0.0,0.0,0.0,22.892466836465974
72,2019-08-08,16.70396802719176,-19.514981290768645,61.231365825796416,16.70396802719176,16.70396802719176,5.4992546417454005,5.4992546417454005,5.4992546417454005,-0.22541790534825842,-0.22541790534825842,-0.22541790534825842,5.724672547093658,5.724672547093658,5.724672547093658,0.0,0.0,0.0,22.20322266893716
